gene	genetic_priority_level	twas_proxy_level	reporting_group	claim_strength_level	curated_exemplar_flag	biological_role_label	source_category	magma_rank	magma_p	magma_fdr	bonferroni_significant	gwas_locus	lead_snp	twas_fdr	twas_reference_tissue	twas_model_snp_count	twas_interpretation	smr_status	coloc_status	known_kidney_transport_or_calcium_gene	allowed_claim	disallowed_claim	overclaim_risk	decision_rule_applied	decision_notes
FNIP2	G2_MAGMA_FDR_nonBonferroni	T2_one_snp_Kidney_Cortex_proxy	R4_MAGMA_lower_priority	claim_3_contextual_or_supplementary	no	not_curated_exemplar	MAGMA;TWAS_FDR	134	2.3114e-05	0.0029868807761194	no			0.0308137941214359	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	contextual or supplementary MAGMA-supported candidate	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_4_lower_priority_magma	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
GCAT	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	92	2.105e-06	0.000396197608695652	yes	KSD_L037	rs6000890	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
GCKR	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	22	1.9757e-10	1.55505550909091e-07	yes	KSD_L031	rs1260326	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
GIPC1	G2_MAGMA_FDR_nonBonferroni	T2_one_snp_Kidney_Cortex_proxy	R4_MAGMA_lower_priority	claim_3_contextual_or_supplementary	no	not_curated_exemplar	MAGMA;TWAS_FDR	283	0.00046446	0.0284190436749117	no	NA_not_found	NA_not_found	0.0165579728559187	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	contextual or supplementary MAGMA-supported candidate	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_4_lower_priority_magma	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
GIPR	G1_MAGMA_Bonferroni	T0_no_TWAS_FDR_support	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	31	3.5899e-09	2.00524865806452e-06	yes	KSD_L029	rs34783010	0.89743648206519	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. No FDR-supported Kidney_Cortex proxy TWAS support. SMR/coloc remains unsupported; missing evidence is not negative evidence.
GLT8D1	G1_MAGMA_Bonferroni	T0_no_TWAS_FDR_support	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	54	8.248e-08	2.64485866666667e-05	yes	KSD_L038	rs731831	0.108538085428113	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. No FDR-supported Kidney_Cortex proxy TWAS support. SMR/coloc remains unsupported; missing evidence is not negative evidence.
GNAZ	G2_MAGMA_FDR_nonBonferroni	T2_one_snp_Kidney_Cortex_proxy	R4_MAGMA_lower_priority	claim_3_contextual_or_supplementary	no	not_curated_exemplar	MAGMA;TWAS_FDR	336	0.00084989	0.0437848162611276	no	NA_not_found	NA_not_found	3.92763373566525e-14	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	contextual or supplementary MAGMA-supported candidate	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_4_lower_priority_magma	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
GNL3	G1_MAGMA_Bonferroni	T2_one_snp_Kidney_Cortex_proxy	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	claim_2_MAGMA_plus_proxy_TWAS	no	not_curated_exemplar	MAGMA;TWAS_FDR	64	1.5764e-07	4.2416208e-05	yes	NA_not_found	NA_not_found	0.000225889054627223	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	MAGMA-prioritized gene with one-SNP Kidney_Cortex proxy signal	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_2_bonferroni_one_snp_twas	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
HIBADH	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	yes	supporting MAGMA-associated context gene	current_curated_exemplar;MAGMA;coloc_resource_row	6	1.2884e-13	3.7183224e-10	yes	KSD_L054	rs42085	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	yes	MAGMA-prioritized gene; curated biological exemplar for role-spectrum interpretation	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_exemplar_status_is_treated_as_priority_evidence	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence. Curated exemplar flag retained but does not upgrade genetic or TWAS level.
HLA-DOB	G2_MAGMA_FDR_nonBonferroni	T1_multi_snp_Kidney_Cortex_proxy	R4_MAGMA_lower_priority	claim_3_contextual_or_supplementary	no	not_curated_exemplar	MAGMA;TWAS_FDR	243	0.00027727	0.0197579093877551	no	NA_not_found	NA_not_found	0.0382150228058212	GTEx_v8_Kidney_Cortex	3	stronger_proxy_support	not_ready	not_ready	no	contextual or supplementary MAGMA-supported candidate	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_4_lower_priority_magma	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is multi-SNP Kidney_Cortex proxy support only. SMR/coloc remains unsupported; missing evidence is not negative evidence.
HLA-DQA2	G1_MAGMA_Bonferroni	T0_no_TWAS_FDR_support	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	69	2.8956e-07	7.26669704347826e-05	yes	NA_not_found	NA_not_found	0.215417832780365	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. No FDR-supported Kidney_Cortex proxy TWAS support. SMR/coloc remains unsupported; missing evidence is not negative evidence.
HLA-DQB2	G1_MAGMA_Bonferroni	T0_no_TWAS_FDR_support	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	77	9.477e-07	0.00021040938	yes	NA_not_found	NA_not_found	0.727575022663752	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. No FDR-supported Kidney_Cortex proxy TWAS support. SMR/coloc remains unsupported; missing evidence is not negative evidence.
HLF	G2_MAGMA_FDR_nonBonferroni	T2_one_snp_Kidney_Cortex_proxy	R4_MAGMA_lower_priority	claim_3_contextual_or_supplementary	no	not_curated_exemplar	MAGMA;TWAS_FDR	318	0.00073105	0.039807741509434	no	NA_not_found	NA_not_found	0.00311944215947809	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	contextual or supplementary MAGMA-supported candidate	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_4_lower_priority_magma	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
ITIH1	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	62	1.4601e-07	4.077918e-05	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
ITIH3	G2_MAGMA_FDR_nonBonferroni	T2_one_snp_Kidney_Cortex_proxy	R4_MAGMA_lower_priority	claim_3_contextual_or_supplementary	no	not_curated_exemplar	MAGMA;TWAS_FDR	99	3.8642e-06	0.000675883709090909	no	NA_not_found	NA_not_found	0.0001379688988725	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	contextual or supplementary MAGMA-supported candidate	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_4_lower_priority_magma	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
KANSL1	G1_MAGMA_Bonferroni	T0_no_TWAS_FDR_support	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	43	3.7331e-08	1.4580072e-05	yes	KSD_L023;KSD_L024;KSD_L025;KSD_L026;KSD_L027		0.629720868908262	GTEx_v8_Kidney_Cortex	1	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. No FDR-supported Kidney_Cortex proxy TWAS support. SMR/coloc remains unsupported; missing evidence is not negative evidence.
KCNK5	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	40	1.4559e-08	6.3025911e-06	yes	KSD_L049	rs1155347	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
LAYN	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	78	9.4779e-07	0.00021040938	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
LINC02875	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	46	4.4648e-08	1.6807060173913e-05	yes	KSD_L023;KSD_L024;KSD_L025;KSD_L026;KSD_L027		NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
LMAN2	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	2	8.3822e-15	7.25730876e-11	yes	KSD_L044;KSD_L045;KSD_L046		NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
LOC101927855	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	70	3.6834e-07	9.1116792e-05	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
LOC101929578	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	84	1.3083e-06	0.0002696967	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
LRRC37A	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	33	6.1946e-09	3.25047556363636e-06	yes	KSD_L023;KSD_L024;KSD_L025;KSD_L026;KSD_L027		NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
LUZP1	G2_MAGMA_FDR_nonBonferroni	T2_one_snp_Kidney_Cortex_proxy	R4_MAGMA_lower_priority	claim_3_contextual_or_supplementary	no	not_curated_exemplar	MAGMA;TWAS_FDR	249	0.00028977	0.0201512342168675	no	NA_not_found	NA_not_found	0.0182221079575821	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	contextual or supplementary MAGMA-supported candidate	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_4_lower_priority_magma	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
MAPT	G1_MAGMA_Bonferroni	T2_one_snp_Kidney_Cortex_proxy	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	claim_2_MAGMA_plus_proxy_TWAS	no	not_curated_exemplar	MAGMA;TWAS_FDR	48	4.7004e-08	1.68265579591837e-05	yes	KSD_L023;KSD_L024;KSD_L025;KSD_L026;KSD_L027		0.00200612139342823	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	MAGMA-prioritized gene with one-SNP Kidney_Cortex proxy signal	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_2_bonferroni_one_snp_twas	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
MED1	G1_MAGMA_Bonferroni	T1_multi_snp_Kidney_Cortex_proxy	R2_MAGMA_Bonferroni_plus_multi_snp_TWAS_proxy	claim_2_MAGMA_plus_proxy_TWAS	no	not_curated_exemplar	MAGMA;TWAS_FDR	32	5.9689e-09	3.2299210125e-06	yes	KSD_L023;KSD_L024;KSD_L025;KSD_L026;KSD_L027		8.22540994943945e-05	GTEx_v8_Kidney_Cortex	2	stronger_proxy_support	not_ready	not_ready	no	MAGMA-prioritized gene with multi-SNP Kidney_Cortex proxy TWAS support	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_papilla_specific_or_causal	rule_1_bonferroni_multi_snp_twas	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is multi-SNP Kidney_Cortex proxy support only. SMR/coloc remains unsupported; missing evidence is not negative evidence.
MED13	G2_MAGMA_FDR_nonBonferroni	T1_multi_snp_Kidney_Cortex_proxy	R4_MAGMA_lower_priority	claim_3_contextual_or_supplementary	no	not_curated_exemplar	MAGMA;TWAS_FDR	197	0.00012765	0.0112202406091371	no	NA_not_found	NA_not_found	0.0133638518675521	GTEx_v8_Kidney_Cortex	2	stronger_proxy_support	not_ready	not_ready	no	contextual or supplementary MAGMA-supported candidate	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_4_lower_priority_magma	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is multi-SNP Kidney_Cortex proxy support only. SMR/coloc remains unsupported; missing evidence is not negative evidence.
MINDY4	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	13	3.6551e-12	4.8685932e-09	yes	KSD_L055	rs6975977	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
MPHOSPH9	G3_MAGMA_suggestive_or_module	T2_one_snp_Kidney_Cortex_proxy	R4_MAGMA_lower_priority	claim_3_contextual_or_supplementary	no	not_curated_exemplar	MAGMA;TWAS_FDR	404	0.0013058	0.055968398019802	no	NA_not_found	NA_not_found	0.0418424874971654	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	contextual or supplementary MAGMA-supported candidate	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_4_lower_priority_magma	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
MRPL33	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA;coloc_resource_row	25	5e-10	3.4632e-07	yes	KSD_L031	rs1260326	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
MXD3	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	41	1.8593e-08	7.85259482926829e-06	yes	KSD_L044;KSD_L045;KSD_L046		NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
NDUFAF1	G2_MAGMA_FDR_nonBonferroni	T2_one_snp_Kidney_Cortex_proxy	R4_MAGMA_lower_priority	claim_3_contextual_or_supplementary	no	not_curated_exemplar	MAGMA;TWAS_FDR	153	3.9598e-05	0.00447798506493507	no	NA_not_found	NA_not_found	0.0148169544045015	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	contextual or supplementary MAGMA-supported candidate	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_4_lower_priority_magma	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
NEK4	G1_MAGMA_Bonferroni	T2_one_snp_Kidney_Cortex_proxy	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	claim_2_MAGMA_plus_proxy_TWAS	no	not_curated_exemplar	MAGMA;TWAS_FDR	57	1.1768e-07	3.55682379661017e-05	yes	NA_not_found	NA_not_found	0.00371459644898581	GTEx_v8_Kidney_Cortex	1	weak_one_snp_proxy	not_ready	not_ready	no	MAGMA-prioritized gene with one-SNP Kidney_Cortex proxy signal	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	high_if_called_TWAS_gene	rule_2_bonferroni_one_snp_twas	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS is one-SNP Kidney_Cortex proxy signal and should be downgraded. SMR/coloc remains unsupported; missing evidence is not negative evidence.
NT5DC2	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	59	1.2119e-07	3.55682379661017e-05	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
PBRM1	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA	52	6.4297e-08	2.1410901e-05	yes	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
PDILT	G1_MAGMA_Bonferroni	Tx_not_available	R1_MAGMA_Bonferroni_only	claim_1_main_MAGMA_prioritized	no	not_curated_exemplar	MAGMA;coloc_resource_row	7	1.9224e-13	4.75546834285714e-10	yes	KSD_L018	rs77924615	NA_not_found	NA_not_found	NA_not_found	NA_not_found	not_ready	not_ready	no	MAGMA-prioritized gene	causal gene; validated disease gene; SMR-supported gene; coloc-supported gene; papilla-specific TWAS gene; therapeutic target	moderate_if_called_causal_or_validated	rule_3_bonferroni_no_twas_fdr	MAGMA interpreted as EUR-LD-reference-based prioritization, not ancestry-generalizable fine mapping. TWAS evidence unavailable or unresolved. SMR/coloc remains unsupported; missing evidence is not negative evidence.
